VARIABLES = "x"	,"y"	,"u"	,"v"
0.00	 0.00	 1.000000	 1.000000
0.00	 0.05	 1.000000	 1.000000
0.00	 0.10	 1.000000	 1.000000
0.00	 0.15	 1.000000	 1.000000
0.00	 0.20	 1.000000	 1.000000
0.00	 0.25	 1.000000	 1.000000
0.00	 0.30	 1.000000	 1.000000
0.00	 0.35	 1.000000	 1.000000
0.00	 0.40	 1.000000	 1.000000
0.00	 0.45	 1.000000	 1.000000
0.00	 0.50	 1.000000	 1.000000
0.00	 0.55	 1.000000	 1.000000
0.00	 0.60	 1.000000	 1.000000
0.00	 0.65	 1.000000	 1.000000
0.00	 0.70	 1.000000	 1.000000
0.00	 0.75	 1.000000	 1.000000
0.00	 0.80	 1.000000	 1.000000
0.00	 0.85	 1.000000	 1.000000
0.00	 0.90	 1.000000	 1.000000
0.00	 0.95	 1.000000	 1.000000
0.00	 1.00	 1.000000	 1.000000
0.00	 1.05	 1.000000	 1.000000
0.00	 1.10	 1.000000	 1.000000
0.00	 1.15	 1.000000	 1.000000
0.00	 1.20	 1.000000	 1.000000
0.00	 1.25	 1.000000	 1.000000
0.00	 1.30	 1.000000	 1.000000
0.00	 1.35	 1.000000	 1.000000
0.00	 1.40	 1.000000	 1.000000
0.00	 1.45	 1.000000	 1.000000
0.00	 1.50	 1.000000	 1.000000
0.00	 1.55	 1.000000	 1.000000
0.00	 1.60	 1.000000	 1.000000
0.00	 1.65	 1.000000	 1.000000
0.00	 1.70	 1.000000	 1.000000
0.00	 1.75	 1.000000	 1.000000
0.00	 1.80	 1.000000	 1.000000
0.00	 1.85	 1.000000	 1.000000
0.00	 1.90	 1.000000	 1.000000
0.00	 1.95	 1.000000	 1.000000
0.00	 2.00	 1.000000	 1.000000
0.05	 0.00	 1.000000	 1.000000
0.05	 0.05	 1.000000	 1.000000
0.05	 0.10	 1.000000	 1.000000
0.05	 0.15	 1.000000	 1.000000
0.05	 0.20	 1.000000	 1.000000
0.05	 0.25	 1.000000	 1.000000
0.05	 0.30	 1.000000	 1.000000
0.05	 0.35	 1.000000	 1.000000
0.05	 0.40	 1.000000	 1.000000
0.05	 0.45	 1.000000	 1.000000
0.05	 0.50	 1.000000	 1.000000
0.05	 0.55	 1.000000	 1.000000
0.05	 0.60	 1.000000	 1.000000
0.05	 0.65	 1.000000	 1.000000
0.05	 0.70	 1.000000	 1.000000
0.05	 0.75	 1.000000	 1.000000
0.05	 0.80	 1.000000	 1.000000
0.05	 0.85	 1.000000	 1.000000
0.05	 0.90	 1.000000	 1.000000
0.05	 0.95	 1.000000	 1.000000
0.05	 1.00	 1.000000	 1.000000
0.05	 1.05	 1.000000	 1.000000
0.05	 1.10	 1.000000	 1.000000
0.05	 1.15	 1.000000	 1.000000
0.05	 1.20	 1.000000	 1.000000
0.05	 1.25	 1.000000	 1.000000
0.05	 1.30	 1.000000	 1.000000
0.05	 1.35	 1.000000	 1.000000
0.05	 1.40	 1.000000	 1.000000
0.05	 1.45	 1.000000	 1.000000
0.05	 1.50	 1.000000	 1.000000
0.05	 1.55	 1.000000	 1.000000
0.05	 1.60	 1.000000	 1.000000
0.05	 1.65	 1.000000	 1.000000
0.05	 1.70	 1.000000	 1.000000
0.05	 1.75	 1.000000	 1.000000
0.05	 1.80	 1.000000	 1.000000
0.05	 1.85	 1.000000	 1.000000
0.05	 1.90	 1.000000	 1.000000
0.05	 1.95	 1.000000	 1.000000
0.05	 2.00	 1.000000	 1.000000
0.10	 0.00	 1.000000	 1.000000
0.10	 0.05	 1.000000	 1.000000
0.10	 0.10	 1.000000	 1.000000
0.10	 0.15	 1.000000	 1.000000
0.10	 0.20	 1.000000	 1.000000
0.10	 0.25	 1.000000	 1.000000
0.10	 0.30	 1.000000	 1.000000
0.10	 0.35	 1.000000	 1.000000
0.10	 0.40	 1.000000	 1.000000
0.10	 0.45	 1.000000	 1.000000
0.10	 0.50	 1.000000	 1.000000
0.10	 0.55	 1.000000	 1.000000
0.10	 0.60	 1.000000	 1.000000
0.10	 0.65	 1.000000	 1.000000
0.10	 0.70	 1.000000	 1.000000
0.10	 0.75	 1.000000	 1.000000
0.10	 0.80	 1.000000	 1.000000
0.10	 0.85	 1.000000	 1.000000
0.10	 0.90	 1.000000	 1.000000
0.10	 0.95	 1.000000	 1.000000
0.10	 1.00	 1.000000	 1.000000
0.10	 1.05	 1.000000	 1.000000
0.10	 1.10	 1.000000	 1.000000
0.10	 1.15	 1.000000	 1.000000
0.10	 1.20	 1.000000	 1.000000
0.10	 1.25	 1.000000	 1.000000
0.10	 1.30	 1.000000	 1.000000
0.10	 1.35	 1.000000	 1.000000
0.10	 1.40	 1.000000	 1.000000
0.10	 1.45	 1.000000	 1.000000
0.10	 1.50	 1.000000	 1.000000
0.10	 1.55	 1.000000	 1.000000
0.10	 1.60	 1.000000	 1.000000
0.10	 1.65	 1.000000	 1.000000
0.10	 1.70	 1.000000	 1.000000
0.10	 1.75	 1.000000	 1.000000
0.10	 1.80	 1.000000	 1.000000
0.10	 1.85	 1.000000	 1.000000
0.10	 1.90	 1.000000	 1.000000
0.10	 1.95	 1.000000	 1.000000
0.10	 2.00	 1.000000	 1.000000
0.15	 0.00	 1.000000	 1.000000
0.15	 0.05	 1.000000	 1.000000
0.15	 0.10	 1.000000	 1.000000
0.15	 0.15	 1.000000	 1.000000
0.15	 0.20	 1.000000	 1.000000
0.15	 0.25	 1.000000	 1.000000
0.15	 0.30	 1.000000	 1.000000
0.15	 0.35	 1.000000	 1.000000
0.15	 0.40	 1.000000	 1.000000
0.15	 0.45	 1.000000	 1.000000
0.15	 0.50	 1.000000	 1.000000
0.15	 0.55	 1.000000	 1.000000
0.15	 0.60	 1.000000	 1.000000
0.15	 0.65	 1.000000	 1.000000
0.15	 0.70	 1.000000	 1.000000
0.15	 0.75	 1.000000	 1.000000
0.15	 0.80	 1.000000	 1.000000
0.15	 0.85	 1.000000	 1.000000
0.15	 0.90	 1.000000	 1.000000
0.15	 0.95	 1.000000	 1.000000
0.15	 1.00	 1.000000	 1.000000
0.15	 1.05	 1.000000	 1.000000
0.15	 1.10	 1.000000	 1.000000
0.15	 1.15	 1.000000	 1.000000
0.15	 1.20	 1.000000	 1.000000
0.15	 1.25	 1.000000	 1.000000
0.15	 1.30	 1.000000	 1.000000
0.15	 1.35	 1.000000	 1.000000
0.15	 1.40	 1.000000	 1.000000
0.15	 1.45	 1.000000	 1.000000
0.15	 1.50	 1.000000	 1.000000
0.15	 1.55	 1.000000	 1.000000
0.15	 1.60	 1.000000	 1.000000
0.15	 1.65	 1.000000	 1.000000
0.15	 1.70	 1.000000	 1.000000
0.15	 1.75	 1.000000	 1.000000
0.15	 1.80	 1.000000	 1.000000
0.15	 1.85	 1.000000	 1.000000
0.15	 1.90	 1.000000	 1.000000
0.15	 1.95	 1.000000	 1.000000
0.15	 2.00	 1.000000	 1.000000
0.20	 0.00	 1.000000	 1.000000
0.20	 0.05	 1.000000	 1.000000
0.20	 0.10	 1.000000	 1.000000
0.20	 0.15	 1.000000	 1.000000
0.20	 0.20	 1.000000	 1.000000
0.20	 0.25	 1.000000	 1.000000
0.20	 0.30	 1.000000	 1.000000
0.20	 0.35	 1.000000	 1.000000
0.20	 0.40	 1.000000	 1.000000
0.20	 0.45	 1.000000	 1.000000
0.20	 0.50	 1.000000	 1.000000
0.20	 0.55	 1.000000	 1.000000
0.20	 0.60	 1.000000	 1.000000
0.20	 0.65	 1.000000	 1.000000
0.20	 0.70	 1.000000	 1.000000
0.20	 0.75	 1.000000	 1.000000
0.20	 0.80	 1.000000	 1.000000
0.20	 0.85	 1.000000	 1.000000
0.20	 0.90	 1.000000	 1.000000
0.20	 0.95	 1.000000	 1.000000
0.20	 1.00	 1.000000	 1.000000
0.20	 1.05	 1.000000	 1.000000
0.20	 1.10	 1.000000	 1.000000
0.20	 1.15	 1.000000	 1.000000
0.20	 1.20	 1.000000	 1.000000
0.20	 1.25	 1.000000	 1.000000
0.20	 1.30	 1.000000	 1.000000
0.20	 1.35	 1.000000	 1.000000
0.20	 1.40	 1.000000	 1.000000
0.20	 1.45	 1.000000	 1.000000
0.20	 1.50	 1.000000	 1.000000
0.20	 1.55	 1.000000	 1.000000
0.20	 1.60	 1.000000	 1.000000
0.20	 1.65	 1.000000	 1.000000
0.20	 1.70	 1.000000	 1.000000
0.20	 1.75	 1.000000	 1.000000
0.20	 1.80	 1.000000	 1.000000
0.20	 1.85	 1.000000	 1.000000
0.20	 1.90	 1.000000	 1.000000
0.20	 1.95	 1.000000	 1.000000
0.20	 2.00	 1.000000	 1.000000
0.25	 0.00	 1.000000	 1.000000
0.25	 0.05	 1.000000	 1.000000
0.25	 0.10	 1.000000	 1.000000
0.25	 0.15	 1.000000	 1.000000
0.25	 0.20	 1.000000	 1.000000
0.25	 0.25	 1.000000	 1.000000
0.25	 0.30	 1.000000	 1.000000
0.25	 0.35	 1.000000	 1.000000
0.25	 0.40	 1.000000	 1.000000
0.25	 0.45	 1.000000	 1.000000
0.25	 0.50	 1.000000	 1.000000
0.25	 0.55	 1.000000	 1.000000
0.25	 0.60	 1.000000	 1.000000
0.25	 0.65	 1.000000	 1.000000
0.25	 0.70	 1.000000	 1.000000
