VARIABLES = "x"	,"y"	,"u"
0.00	 0.00	 1.000000
0.00	 0.07	 1.000000
0.00	 0.13	 1.000000
0.00	 0.20	 1.000000
0.00	 0.27	 1.000000
0.00	 0.33	 1.000000
0.00	 0.40	 1.000000
0.00	 0.47	 1.000000
0.00	 0.53	 1.000000
0.00	 0.60	 1.000000
0.00	 0.67	 1.000000
0.00	 0.73	 1.000000
0.00	 0.80	 1.000000
0.00	 0.87	 1.000000
0.00	 0.93	 1.000000
0.00	 1.00	 1.000000
0.00	 1.07	 1.000000
0.00	 1.13	 1.000000
0.00	 1.20	 1.000000
0.00	 1.27	 1.000000
0.00	 1.33	 1.000000
0.00	 1.40	 1.000000
0.00	 1.47	 1.000000
0.00	 1.53	 1.000000
0.00	 1.60	 1.000000
0.00	 1.67	 1.000000
0.00	 1.73	 1.000000
0.00	 1.80	 1.000000
0.00	 1.87	 1.000000
0.00	 1.93	 1.000000
0.00	 2.00	 1.000000
0.07	 0.00	 1.000000
0.07	 0.07	 1.000385
0.07	 0.13	 1.001371
0.07	 0.20	 1.002160
0.07	 0.27	 1.004856
0.07	 0.33	 1.006570
0.07	 0.40	 1.011027
0.07	 0.47	 1.013236
0.07	 0.53	 1.017670
0.07	 0.60	 1.019192
0.07	 0.67	 1.021694
0.07	 0.73	 1.021501
0.07	 0.80	 1.021694
0.07	 0.87	 1.019192
0.07	 0.93	 1.017670
0.07	 1.00	 1.013236
0.07	 1.07	 1.011027
0.07	 1.13	 1.006570
0.07	 1.20	 1.004856
0.07	 1.27	 1.002162
0.07	 1.33	 1.001392
0.07	 1.40	 1.000430
0.07	 1.47	 1.000238
0.07	 1.53	 1.000045
0.07	 1.60	 1.000021
0.07	 1.67	 1.000002
0.07	 1.73	 1.000001
0.07	 1.80	 1.000000
0.07	 1.87	 1.000000
0.07	 1.93	 1.000000
0.07	 2.00	 1.000000
0.13	 0.00	 1.000000
0.13	 0.07	 1.001371
0.13	 0.13	 1.002665
0.13	 0.20	 1.006824
0.13	 0.27	 1.010020
0.13	 0.33	 1.018740
0.13	 0.40	 1.024042
0.13	 0.47	 1.035166
0.13	 0.53	 1.040302
0.13	 0.60	 1.048805
0.13	 0.67	 1.050835
0.13	 0.73	 1.053856
0.13	 0.80	 1.050835
0.13	 0.87	 1.048805
0.13	 0.93	 1.040302
0.13	 1.00	 1.035166
0.13	 1.07	 1.024042
0.13	 1.13	 1.018741
0.13	 1.20	 1.010022
0.13	 1.27	 1.006838
0.13	 1.33	 1.002700
